,lat,lon
451,52.52327,13.41384
452,52.52266,13.4157
453,52.52497,13.41552
454,52.52687,13.41107
455,52.523,13.41782
456,52.5193,13.41125
457,52.52415,13.4181
458,52.52473,13.4185
459,52.52236,13.41909
460,52.52325,13.4122
461,52.52327,13.41384
462,52.52266,13.4157
463,52.52497,13.41552
464,52.52687,13.41107
465,52.523,13.41782
466,52.5193,13.41125
467,52.52415,13.4181
468,52.52473,13.4185
469,52.52236,13.41909
470,52.52325,13.4122
471,52.52327,13.41384
472,52.52266,13.4157
473,52.52497,13.41552
474,52.52687,13.41107
475,52.523,13.41782
476,52.5193,13.41125
477,52.52415,13.4181
478,52.52473,13.4185
479,52.52236,13.41909
480,52.52325,13.4122
481,52.52327,13.41384
482,52.52266,13.4157
483,52.52497,13.41552
484,52.52687,13.41107
485,52.523,13.41782
486,52.5193,13.41125
487,52.52415,13.4181
488,52.52473,13.4185
489,52.52236,13.41909
490,52.52325,13.4122
491,52.52327,13.41384
492,52.52266,13.4157
493,52.52497,13.41552
494,52.52687,13.41107
495,52.523,13.41782
496,52.5193,13.41125
497,52.52415,13.4181
498,52.52473,13.4185
499,52.52236,13.41909
500,52.52325,13.4122
501,52.52327,13.41384
502,52.52266,13.4157
503,52.52497,13.41552
504,52.52687,13.41107
505,52.523,13.41782
506,52.5193,13.41125
507,52.52415,13.4181
508,52.52473,13.4185
509,52.52236,13.41909
510,52.52325,13.4122
511,52.52327,13.41384
512,52.52266,13.4157
513,52.52497,13.41552
514,52.52687,13.41107
515,52.523,13.41782
516,52.5193,13.41125
517,52.52415,13.4181
518,52.52473,13.4185
519,52.52236,13.41909
520,52.52325,13.4122
521,52.52327,13.41384
522,52.52266,13.4157
523,52.52497,13.41552
524,52.52687,13.41107
525,52.523,13.41782
526,52.5193,13.41125
527,52.52415,13.4181
528,52.52473,13.4185
529,52.52236,13.41909
530,52.52325,13.4122
531,52.52327,13.41384
532,52.52266,13.4157
533,52.52497,13.41552
534,52.52687,13.41107
535,52.523,13.41782
536,52.5193,13.41125
537,52.52415,13.4181
538,52.52473,13.4185
539,52.52236,13.41909
540,52.52325,13.4122
541,52.52327,13.41384
542,52.52266,13.4157
543,52.52497,13.41552
544,52.52687,13.41107
545,52.523,13.41782
546,52.5193,13.41125
547,52.52415,13.4181
548,52.52473,13.4185
549,52.52236,13.41909
550,52.52325,13.4122
551,52.52327,13.41384
552,52.52266,13.4157
553,52.52497,13.41552
554,52.52687,13.41107
555,52.523,13.41782
556,52.5193,13.41125
557,52.52415,13.4181
558,52.52473,13.4185
559,52.52236,13.41909
560,52.52325,13.4122
561,52.52327,13.41384
562,52.52266,13.4157
563,52.52497,13.41552
564,52.52687,13.41107
565,52.523,13.41782
566,52.5193,13.41125
567,52.52415,13.4181
568,52.52473,13.4185
569,52.52236,13.41909
570,52.52325,13.4122
571,52.52327,13.41384
572,52.52266,13.4157
573,52.52497,13.41552
574,52.52687,13.41107
575,52.523,13.41782
576,52.5193,13.41125
577,52.52415,13.4181
578,52.52473,13.4185
579,52.52236,13.41909
580,52.52325,13.4122
581,52.52327,13.41384
582,52.52266,13.4157
583,52.52497,13.41552
584,52.52687,13.41107
585,52.523,13.41782
586,52.5193,13.41125
587,52.52415,13.4181
588,52.52473,13.4185
589,52.52236,13.41909
590,52.52325,13.4122
591,52.52327,13.41384
592,52.52266,13.4157
593,52.52497,13.41552
594,52.52687,13.41107
595,52.523,13.41782
596,52.5193,13.41125
597,52.52415,13.4181
598,52.52473,13.4185
599,52.52236,13.41909
600,52.52325,13.4122
601,52.52327,13.41384
602,52.52266,13.4157
603,52.52497,13.41552
604,52.52687,13.41107
605,52.523,13.41782
606,52.5193,13.41125
607,52.52415,13.4181
608,52.52473,13.4185
609,52.52236,13.41909
610,52.52325,13.4122
611,52.52327,13.41384
612,52.52266,13.4157
613,52.52497,13.41552
614,52.52687,13.41107
615,52.523,13.41782
616,52.5193,13.41125
617,52.52415,13.4181
618,52.52473,13.4185
619,52.52236,13.41909
620,52.52325,13.4122
621,52.52327,13.41384
622,52.52266,13.4157
623,52.52497,13.41552
624,52.52687,13.41107
625,52.523,13.41782
626,52.5193,13.41125
627,52.52415,13.4181
628,52.52473,13.4185
629,52.52236,13.41909
630,52.52325,13.4122
631,52.52327,13.41384
632,52.52266,13.4157
633,52.52497,13.41552
634,52.52687,13.41107
635,52.523,13.41782
636,52.5193,13.41125
637,52.52415,13.4181
638,52.52473,13.4185
639,52.52236,13.41909
640,52.52325,13.4122
641,52.52327,13.41384
642,52.52266,13.4157
643,52.52497,13.41552
644,52.52687,13.41107
645,52.523,13.41782
646,52.5193,13.41125
647,52.52415,13.4181
648,52.52473,13.4185
649,52.52236,13.41909
650,52.52325,13.4122
651,52.52327,13.41384
652,52.52266,13.4157
653,52.52497,13.41552
654,52.52687,13.41107
655,52.523,13.41782
656,52.5193,13.41125
657,52.52415,13.4181
658,52.52473,13.4185
659,52.52236,13.41909
660,52.52325,13.4122
661,52.52327,13.41384
662,52.52266,13.4157
663,52.52497,13.41552
664,52.52687,13.41107
665,52.523,13.41782
666,52.5193,13.41125
667,52.52415,13.4181
668,52.52473,13.4185
669,52.52236,13.41909
670,52.52325,13.4122
671,52.52327,13.41384
672,52.52266,13.4157
673,52.52497,13.41552
674,52.52687,13.41107
675,52.523,13.41782
676,52.5193,13.41125
677,52.52415,13.4181
678,52.52473,13.4185
679,52.52236,13.41909
680,52.52325,13.4122
681,52.52327,13.41384
682,52.52266,13.4157
683,52.52497,13.41552
684,52.52687,13.41107
685,52.523,13.41782
686,52.5193,13.41125
687,52.52415,13.4181
688,52.52473,13.4185
689,52.52236,13.41909
690,52.52325,13.4122
691,52.52327,13.41384
692,52.52266,13.4157
693,52.52497,13.41552
694,52.52687,13.41107
695,52.523,13.41782
696,52.5193,13.41125
697,52.52415,13.4181
698,52.52473,13.4185
699,52.52236,13.41909
700,52.52325,13.4122
701,52.52327,13.41384
702,52.52266,13.4157
703,52.52497,13.41552
704,52.52687,13.41107
705,52.523,13.41782
706,52.5193,13.41125
707,52.52415,13.4181
708,52.52473,13.4185
709,52.52236,13.41909
